Year,TLE at Birth
2023 ,83
2022 ,83
2021 ,83.2
2020 ,83.7
2019 ,83.7
2018 ,83.4
2017 ,83.2
2016 ,83
2015 ,82.9
2014 ,82.6
2013 ,82.4
2012 ,82.1
2011 ,81.9
2010 ,81.7
2009 ,81.4
2008 ,80.9
2007 ,80.6
2006 ,80.3
2005 ,80.1
2004 ,79.6
2003 ,79.1
2002 ,78.6
2001 ,78.3
2000 ,78
1999 ,77.6
1998 ,77.3
1997 ,76.9
1996 ,76.6
1995 ,76.3
1994 ,76.2
1993 ,76.1
1992 ,75.9
1991 ,75.6
1990 ,75.3
1989 ,74.9
1988 ,74.7
1987 ,74.5
1986 ,74.2
1985 ,73.9
1984 ,73.3
1983 ,73
1982 ,72.6
1981 ,72.5
1980 ,72.1
1975 ,66.8
1970 ,65.8
1965 ,64.5
1960 ,62.9
1957,61.1
